iter	MAE	RMSE
752	0.1277698964	0.2667106401
753	0.1277481719	0.2666161447
754	0.1277173834	0.2665368137
755	0.127676557	0.2664578441
756	0.1276134079	0.2663465945
757	0.1276114034	0.2663408454
758	0.1276058851	0.26632763
759	0.1275905225	0.2662633998
760	0.1275802817	0.2662268996
761	0.127577566	0.2662147687
762	0.1275765914	0.2662135777
763	0.1275366608	0.2661118918
764	0.1275009373	0.2660378897
765	0.1274861924	0.2659718322
766	0.1274024072	0.2658609707
767	0.127303748	0.2656872864
768	0.1272284464	0.2655968035
769	0.1272266365	0.2655912825
770	0.1271978971	0.2655248176
771	0.1271687627	0.2654514612
772	0.1270824368	0.2653964706
773	0.1270209878	0.2652816321
774	0.1269643643	0.2651923406
775	0.126937325	0.2651022176
776	0.1268829085	0.2650135331
777	0.1268191563	0.2649519929
778	0.1268120946	0.2649183306
779	0.1267705869	0.264818076
780	0.1267686388	0.2647900686
781	0.1267347181	0.264662689
782	0.1267017477	0.2645804765
783	0.126673379	0.2645038798
784	0.1266238111	0.2644202359
785	0.1265241506	0.2643235341
786	0.1265236761	0.2643224257
787	0.126500255	0.2642414063
788	0.1264997555	0.2642403241
789	0.1264184934	0.2641424065
790	0.1264180005	0.2641413233
791	0.1264176125	0.264140268
792	0.1264171745	0.2641392037
793	0.1263788546	0.2640447484
794	0.1263692649	0.2639996791
795	0.1263258642	0.2639405591
796	0.1263230992	0.2639287538
797	0.1262953683	0.2638478778
798	0.1262578703	0.2637684119
799	0.126150918	0.263678423
800	0.1261503927	0.2636773983
801	0.126147661	0.2636657871
802	0.1260968196	0.2635735639
803	0.1260525056	0.2634766839
804	0.1260322435	0.2634122825
805	0.1259856474	0.2632940482
806	0.1259539046	0.2632130883
807	0.125923323	0.2631087079
808	0.1258894756	0.2629985091
809	0.1258697186	0.2629297405
810	0.1258692138	0.2629287231
811	0.1258295723	0.2628434781
812	0.1258290482	0.2628423281
813	0.1257826879	0.2627227965
814	0.1257311233	0.2626329655
815	0.1256489333	0.2625540377
816	0.1256338259	0.2624956545
817	0.1255987253	0.2624066464
818	0.125580625	0.2623465986
819	0.125489093	0.262235119
820	0.1254755219	0.2621902016
821	0.125452693	0.2621580746
822	0.1253322833	0.2620384382
823	0.1252695447	0.2619321291
824	0.1252022354	0.261841198
825	0.12515729	0.2617456154
826	0.1251284213	0.2616430226
827	0.1250341024	0.2615101792
828	0.1249956923	0.2614262346
829	0.1249758787	0.2613712259
830	0.1249541695	0.261293706
831	0.124889956	0.2612093206
832	0.1248873969	0.2612048574
833	0.1248505087	0.2611055823
834	0.1248078731	0.261034381
835	0.12473906	0.2609647087
836	0.124712412	0.260885219
837	0.1246622069	0.2607931842
838	0.1246555617	0.2607559486
839	0.1246168856	0.2606642893
840	0.1245500939	0.2605849742
841	0.1245495196	0.260583962
842	0.1245283216	0.260502698
843	0.1244788224	0.2603716059
844	0.1243952672	0.2602798363
845	0.1243523582	0.260231779
846	0.1243095484	0.2601464368
847	0.1242912287	0.2600943946
848	0.1242850788	0.260071579
849	0.1242641666	0.2599940935
850	0.124186544	0.2598571946
851	0.1241861261	0.2598560796
852	0.1241810794	0.2598341979
853	0.1241806527	0.2598332482
854	0.1241398571	0.2597518744
855	0.124055207	0.259630225
856	0.1240547876	0.2596292564
857	0.1240269381	0.2595658762
858	0.1240263498	0.2595649392
859	0.1239787548	0.2594781367
860	0.1239697438	0.2594381126
861	0.12395527	0.2594084526
862	0.1239217133	0.2593157399
863	0.1239194025	0.2593116537
864	0.1239137921	0.2592887419
865	0.1238710506	0.2591991815
866	0.1238573915	0.2591462958
867	0.1238512666	0.259098753
868	0.1237742906	0.2589611027
869	0.1237292605	0.2588648043
870	0.1237288259	0.258863752
871	0.12366222	0.2587879911
872	0.1235893724	0.2587209807
873	0.1235889738	0.2587201428
874	0.123588599	0.2587193136
875	0.1235648191	0.258694761
876	0.1235644129	0.2586937441
877	0.1235592953	0.2586705502
878	0.1235588883	0.2586696025
879	0.1235381462	0.2586220714
880	0.1235027633	0.2585443036
